model,model_group,params_b,depth_bin,depth_start,depth_end,heads_in_bin,selected_heads,selected_density,margin_mean_all,margin_mean_selected
qwen3-8b-attn,Qwen3,8.0,1,0.1,0.2,96,0,0.0,-0.10222943252635641,
qwen3-8b-attn,Qwen3,8.0,2,0.2,0.3,128,6,0.046875,-0.004133641137428774,0.5250556227952604
qwen3-8b-attn,Qwen3,8.0,3,0.3,0.4,96,3,0.03125,0.06964895839970066,0.5795685899902782
qwen3-8b-attn,Qwen3,8.0,4,0.4,0.5,128,12,0.09375,0.06601893736800957,0.4986224341245075
qwen3-8b-attn,Qwen3,8.0,5,0.5,0.6,96,11,0.11458333333333333,0.1322107069632865,0.5244255614059701
qwen3-8b-attn,Qwen3,8.0,6,0.6,0.7,128,8,0.0625,0.07699622289629196,0.5296976246723488
qwen3-8b-attn,Qwen3,8.0,7,0.7,0.8,96,0,0.0,-0.011118809285438036,
qwen3-8b-attn,Qwen3,8.0,8,0.8,0.9,128,0,0.0,-0.0007067725753724598,
qwen3-8b-attn,Qwen3,8.0,9,0.9,1.0,128,0,0.0,-0.04592184124388958,
qwen3-14b-attn,Qwen3,14.0,0,0.0,0.1,160,0,0.0,-0.06951322975456951,
qwen3-14b-attn,Qwen3,14.0,1,0.1,0.2,160,0,0.0,-0.05338333067733818,
qwen3-14b-attn,Qwen3,14.0,2,0.2,0.3,160,1,0.00625,-0.05522823141257499,0.7020371365875266
qwen3-14b-attn,Qwen3,14.0,3,0.3,0.4,160,16,0.1,0.08443917088821218,0.5527991400535732
qwen3-14b-attn,Qwen3,14.0,4,0.4,0.5,160,21,0.13125,0.11342327028794699,0.5348530800854162
qwen3-14b-attn,Qwen3,14.0,5,0.5,0.6,160,17,0.10625,0.13154833039868902,0.5516149080184365
qwen3-14b-attn,Qwen3,14.0,6,0.6,0.7,160,6,0.0375,0.10213349551472714,0.598833310830945
qwen3-14b-attn,Qwen3,14.0,7,0.7,0.8,160,2,0.0125,0.03525142864331039,0.6054103344092858
qwen3-14b-attn,Qwen3,14.0,8,0.8,0.9,160,0,0.0,0.004700965100091342,
qwen3-14b-attn,Qwen3,14.0,9,0.9,1.0,160,0,0.0,-0.06209751429381031,
qwen3-32b-attn,Qwen3,32.0,0,0.0,0.1,448,0,0.0,-0.06067163202156871,
qwen3-32b-attn,Qwen3,32.0,1,0.1,0.2,384,1,0.0026041666666666665,-0.10220571501758315,0.5215971351042722
qwen3-32b-attn,Qwen3,32.0,2,0.2,0.3,384,2,0.005208333333333333,-0.0882666268810635,0.6954785478344714
qwen3-32b-attn,Qwen3,32.0,3,0.3,0.4,448,13,0.029017857142857144,-0.004715611040191638,0.70781299160437
qwen3-32b-attn,Qwen3,32.0,4,0.4,0.5,384,4,0.010416666666666666,-0.056205148293194424,0.6989820353340648
qwen3-32b-attn,Qwen3,32.0,5,0.5,0.6,384,1,0.0026041666666666665,-0.0695290451449592,0.5175863582860096
qwen3-32b-attn,Qwen3,32.0,6,0.6,0.7,448,6,0.013392857142857142,0.0006112650807230986,0.6092308909512352
qwen3-32b-attn,Qwen3,32.0,7,0.7,0.8,384,9,0.0234375,0.0019325734796500846,0.6686093077327454
qwen3-32b-attn,Qwen3,32.0,8,0.8,0.9,384,0,0.0,-0.06897408510368437,
qwen3-32b-attn,Qwen3,32.0,9,0.9,1.0,448,0,0.0,-0.07796107542605088,
