run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,label,count,focus_score_mean,focus_score_std,focus_score_median,risk_score_mean,risk_score_std,risk_score_median,mean_instruction_mass_mean,mean_instruction_mass_std,mean_instruction_mass_median,mean_data_mass_mean,mean_data_mass_std,mean_data_mass_median,mean_ratio_mean,mean_ratio_std,mean_ratio_median,mean_normalized_instruction_ratio_mean,mean_normalized_instruction_ratio_std,mean_normalized_instruction_ratio_median,mean_entropy_mean,mean_entropy_std,mean_entropy_median
qwen-phase2-qwen2.5-32b-instruct-seed0-phase2,qwen2.5-32b-instruct-attn,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,32.0,64,40,4bit,bfloat16,0,56,0.5587215899425783,0.13631000306949523,0.5158014622658653,0.44127841005742174,0.13631000306949523,0.4841985377341347,0.02347558693561171,0.003974153033532596,0.023094240576028824,0.12291679185416017,0.041436774203693294,0.12684408575296402,0.25363147178930895,0.08754307541221783,0.23007782548666,0.25363147178930895,0.08754307541221783,0.23007782548666,0.41157945511596544,0.016368388083431967,0.41176706552505493
qwen-phase2-qwen2.5-32b-instruct-seed0-phase2,qwen2.5-32b-instruct-attn,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,32.0,64,40,4bit,bfloat16,1,60,0.2162654474910224,0.09610590402532945,0.2016580301641269,0.7837345525089776,0.09610590402532945,0.7983419698358731,0.01667809720772008,0.004071417282273827,0.01664071064442396,0.19634387443463008,0.040719634440138396,0.19807732850313187,0.1275279954696695,0.04773816631631601,0.12503370270133018,0.1275279954696695,0.04773816631631601,0.12503370270133018,0.4159590835372607,0.021808413829236185,0.41411663591861725
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,0,56,0.6263395081053259,0.13005247729567684,0.6211685357349259,0.373660491894674,0.13005247729567684,0.378831464265074,0.0433988788032106,0.007601305471094693,0.04350512474775314,0.20338142170969928,0.059561585700594694,0.2138681337237358,0.24677961532558715,0.08272698645711864,0.2226935774087906,0.24677961532558715,0.08272698645711864,0.2226935774087906,0.6869492488248008,0.020838324618773357,0.691886693239212
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,1,60,0.2260604911642336,0.10257232593710744,0.2119348036420498,0.7739395088357663,0.10257232593710745,0.7880651963579501,0.029298147031416494,0.007502431240928673,0.029393455013632774,0.3077654535571734,0.05477499791459108,0.3112344741821289,0.12666242998093366,0.05070123614967358,0.12444249540567398,0.12666242998093366,0.05070123614967358,0.12444249540567398,0.6604931046565373,0.03252439414167394,0.6650111973285675
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,0,56,0.46386479467615593,0.20899271615894122,0.3720392423438961,0.5361352053238441,0.20899271615894122,0.6279607576561038,0.03496640707765307,0.010305397646697334,0.03251153975725174,0.1565610444439309,0.0491691611584554,0.162883423268795,0.2291696368317519,0.09098938875620673,0.1934061124920845,0.2291696368317519,0.09098938875620673,0.1934061124920845,0.5755573873009,0.024853238648779065,0.5801862478256226
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,1,60,0.13763436583331382,0.061480115365892395,0.12724088557550442,0.8623656341666862,0.061480115365892395,0.8727591144244956,0.026076666188115875,0.008642821168200652,0.024392087943851948,0.22995267796019714,0.042985584069982576,0.23239797353744507,0.12793449287613232,0.05098340455070809,0.12328722700476646,0.12793449287613232,0.05098340455070809,0.12328722700476646,0.5535410513480504,0.03041768287808839,0.5597960352897644
qwen-phase2-qwen2.5-coder-32b-instruct-seed0-phase2,qwen2.5-coder-32b-instruct-attn,qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,32.0,64,40,4bit,bfloat16,0,56,0.5638174385622917,0.1941682635168263,0.4845551183581415,0.4361825614377084,0.1941682635168263,0.5154448816418584,0.034032305336690376,0.010505443318277786,0.03269056789577007,0.12309623822303754,0.04068682875764708,0.12712804228067398,0.2593702989231263,0.09566854097365757,0.2320932373404503,0.2593702989231263,0.09566854097365757,0.2320932373404503,0.5072479652506965,0.02092263319178893,0.5111692249774933
qwen-phase2-qwen2.5-coder-32b-instruct-seed0-phase2,qwen2.5-coder-32b-instruct-attn,qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,32.0,64,40,4bit,bfloat16,1,60,0.23713720082930398,0.11188316624771352,0.2295691589997505,0.762862799170696,0.11188316624771352,0.7704308410002494,0.022487215558066966,0.007607023300790106,0.02063785959035158,0.18385871462523937,0.0389224509672861,0.18168873339891434,0.14063224165389934,0.057287931656750495,0.1325591504573822,0.14063224165389934,0.057287931656750495,0.1325591504573822,0.4884847064812978,0.02711782037521592,0.49047091603279114
qwen-phase2-qwen3-8b-seed0-phase2,qwen3-8b-attn,qwen3-8b,Qwen/Qwen3-8B,attn-hf,Qwen,Qwen3,base,8.0,36,32,8bit,bfloat16,0,56,0.6287270162899014,0.14704996352030775,0.5942246377468109,0.3712729837100986,0.14704996352030775,0.4057753622531891,0.020156149336669062,0.004358973306936495,0.02004975825548172,0.08727344501364444,0.03908950699931032,0.08373590931296349,0.2738943298214248,0.09850433683804272,0.24472342431545258,0.2738943298214248,0.09850433683804272,0.24472342431545258,0.40995284223130773,0.02487118437879569,0.4080969989299774
qwen-phase2-qwen3-8b-seed0-phase2,qwen3-8b-attn,qwen3-8b,Qwen/Qwen3-8B,attn-hf,Qwen,Qwen3,base,8.0,36,32,8bit,bfloat16,1,60,0.2414705903122551,0.11915242208090497,0.22252369879570325,0.7585294096877451,0.11915242208090498,0.7774763012042968,0.013744145911186934,0.004346693415739104,0.01323755644261837,0.13979610024640957,0.039983236061023594,0.13878100365400314,0.14204033433149257,0.05746927992029959,0.13735628873109818,0.14204033433149257,0.05746927992029959,0.13735628873109818,0.3946644514799118,0.03108068660175173,0.3979866951704025
