run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,metric,depth_bin,depth_start,depth_end,benign_mean,attack_mean,delta_attack_minus_benign,abs_delta
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,2,0.2,0.3,0.07777021080255508,0.09788210690021515,0.020111896097660065,0.020111896097660065
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,3,0.3,0.4,0.12157565355300903,0.15991240739822388,0.038336753845214844,0.038336753845214844
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,4,0.4,0.5,0.24775512516498566,0.29758408665657043,0.04982896149158478,0.04982896149158478
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,5,0.5,0.6,0.24823251366615295,0.33081021904945374,0.08257770538330078,0.08257770538330078
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,6,0.6,0.7,0.29521653056144714,0.3643922805786133,0.06917575001716614,0.06917575001716614
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,7,0.7,0.8,0.19522027671337128,0.2456882745027542,0.050467997789382935,0.050467997789382935
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,8,0.8,0.9,0.1822187751531601,0.22733686864376068,0.045118093490600586,0.045118093490600586
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,data_mass,9,0.9,1.0,0.291053831577301,0.3458558917045593,0.0548020601272583,0.0548020601272583
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,0,0.0,0.1,0.13203872740268707,0.07804179191589355,-0.05399693548679352,0.05399693548679352
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,normalized_instruction_ratio,1,0.1,0.2,0.8571106195449829,0.8160457611083984,-0.04106485843658447,0.04106485843658447
